id	184A1	184B5	21MT1	21NT	21PT	600MPE	AU565	BT474	BT483	BT549	CAMA1	EFM192A	EFM192B	EFM192C	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	JIMT1	LY2	MCF10A	MCF10F	MCF12A	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	T47D_Kbluc	UACC812	UACC893	ZR751	ZR7530	ZR75B
Group	Normal-like	Normal-like	Basal	Basal	Basal	Luminal	Luminal	Luminal	Luminal	Claudin-low	Luminal	Luminal	Luminal	Luminal	Basal	Claudin-low	Luminal	Luminal	Basal	Basal	Basal	Basal	Luminal	Basal	Claudin-low	Basal	Claudin-low	Basal	Luminal	Normal-like	Normal-like	Normal-like	Luminal	Luminal	Luminal	Claudin-low	Luminal	Luminal	Basal	Luminal	Claudin-low	Basal	Luminal	Basal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal
ENSG00000134202	5.89	4.04	2.85	3.71	3.87	7.47	5.38	4.11	2.57	5.76	9.23	5.36	6.48	7.64	3.26	1.37	6.39	6.18	4.66	5.39	4.96	6.59	5.99	7.27	6.84	6.03	2.42	1.21	6.09	0.27	0.96	5.22	9.06	8.19	5.99	5.32	7.29	0.3	3.88	7.31	4.42	2.3	5.07	2.66	8.65	8.65	7.45	2.37	2.27	3.95	7.61	0.66
ENSG00000161395	3.52	3.57	6.18	6.56	6.49	4.27	8.02	8.01	5.19	2.96	4.22	10	7.77	8.85	2.92	3.37	8.7	4.04	0.45	2	2.43	9.07	6.67	4.48	4.12	4.2	3.13	4.1	4.1	2.71	3.43	3.24	3.14	3.79	3.89	2.97	6.15	5.06	4.08	7.64	3.08	3.66	11.48	3.24	2.87	4.61	4.27	8.32	8.73	4.25	8.7	4.03
ENSG00000262323	0	0	1.97	0.18	0.18	0	6.12	0	0	0	0.85	4.53	6.1	3.44	0	0	0	1.75	2.5	0.44	0.26	0.84	2.65	5.43	0	4.88	1.32	0.69	6.08	0	0.08	0.59	3.59	0	1.46	0.54	2.28	4.52	0	5.01	0	0	3.82	1.19	4.31	4.98	6.67	6.96	6.4	6.22	0	0.33
ENSG00000172478	0	3.73	2.5	1.41	2.04	5.6	7.06	2.97	3.64	0	3.31	4.92	5.38	3.54	3.95	0.3	4.26	2.4	0.04	0.4	3.15	4.28	6.13	2.34	0.04	1.3	0.14	0.19	3.88	0.6	0.07	0	1.65	0.52	5.78	0	5.48	6.12	2.62	6.05	0	0.85	6.52	1.71	3.33	1.5	0.83	6.81	6.45	6.03	7.55	0.7
ENSG00000214265	5.75	5.53	5.24	5.78	5.52	5.48	3.58	6.1	4.12	0.03	6.11	5.54	6.13	5.55	4.97	0.04	0.29	0	0.26	6.15	5.38	0.16	3.82	6.19	5.26	0	3.84	3.64	0.38	4.25	6.05	5.4	0.37	3.66	6.19	0	6.16	6.46	5.65	0.33	7.14	5.75	3.85	5.79	0	6.25	5.04	5.54	7.1	5.44	6.25	5.54
ENSG00000176788	5.86	5.8	3.31	4.47	4.49	0	0	5.81	2.55	6.64	3.24	3.38	2.65	0.75	6.98	4.7	1.99	0.95	1.36	0.25	4.69	0.06	2.2	2.49	5.86	0.32	6.29	0.53	5.15	4.64	0.27	4.53	6.2	4.34	0.27	5.35	3.74	0.1	1.16	0	6.3	3.8	0.34	6.81	3.33	0	0	2.88	0	0.3	0.06	0.11
ENSG00000151715	0.11	0	4.79	4.72	4.91	4.6	3.82	5.36	2.03	0	3.97	4.76	2.17	4.51	0.23	0	5.59	3.63	0.11	4.37	3.16	1.74	5.29	0	0.04	1.93	0.19	0.18	2.39	0	4.76	1.96	2.99	0.15	5.37	0.7	3.37	6.3	0.34	3.82	0	0.07	6.94	2.03	6.54	6.9	4.45	6.3	5.76	3.48	7.73	0.69
ENSG00000123689	0.24	0.82	6.25	6.44	6.29	0	0.11	0	0	0	0	0	1.17	0.67	0	0	0	0.27	2.6	6.1	0.54	0	2.34	0	0.55	0.48	4.65	2.65	0.85	0	9.07	2.98	0	0	0	6.27	1.5	0	0	0	0	7.45	1.26	1.41	0	0	1.05	0	0	0	0	0
ENSG00000100979	0.78	4.88	0	0.21	0.25	0	7.22	0.19	0.29	8.04	0.24	2.5	6.54	2.79	0.18	2.15	0.24	0.04	0.06	6.63	3.48	0.14	2.24	0	5.13	5.28	3.86	0.9	1.44	0.58	1.42	6.05	0.31	0.25	0.86	1.16	0	0	1.3	5.08	1.11	3.47	1.01	7.58	0.99	1.44	1.84	0	0	0	0.07	0
ENSG00000103490	6.56	3.85	5.87	5.43	5.37	4.87	0.15	2.87	5.42	0	3.32	0.4	0.79	0.54	1.92	0.36	3.44	4.05	0	5.3	6.39	0	4.47	0	2.86	3.96	0.25	2.4	7.28	3.01	5.1	6.78	5.16	4.84	4.37	0	5	5.26	1.27	0	0.55	6.73	2.26	5.44	1.17	3.86	4.55	7.83	4.27	6.49	0.23	3.58
